ablation,sample_size,replicate,seed,full_tv_error,ablated_tv_error,full_better,invalid_category,full_invalid_mass,ablated_invalid_mass,full_invalid_top1,ablated_invalid_top1
A2_remove_industry_prior,1,34,11763,0.08956228956228958,0.24191919191919192,True,,,,,
A4_remove_hierarchical_pooling,1,34,11763,0.08956228956228958,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,35,11764,0.11680134680134681,0.25535353535353544,True,,,,,
A4_remove_hierarchical_pooling,1,35,11764,0.11680134680134681,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,36,11765,0.02878787878787884,0.14090909090909093,True,,,,,
A4_remove_hierarchical_pooling,1,36,11765,0.02878787878787884,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,37,11766,0.07690235690235693,0.24191919191919192,True,,,,,
A4_remove_hierarchical_pooling,1,37,11766,0.07690235690235693,0.9,True,,,,,
A2_remove_industry_prior,1,38,11767,0.17861952861952865,0.28232323232323236,True,,,,,
A4_remove_hierarchical_pooling,1,38,11767,0.17861952861952865,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,39,11768,0.07505050505050509,0.2250505050505051,True,,,,,
A4_remove_hierarchical_pooling,1,39,11768,0.07505050505050509,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,40,11769,0.2216835016835017,0.31262626262626264,True,,,,,
A4_remove_hierarchical_pooling,1,40,11769,0.2216835016835017,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,41,11770,0.10198653198653199,0.245959595959596,True,,,,,
A4_remove_hierarchical_pooling,1,41,11770,0.10198653198653199,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,42,11771,0.14565656565656568,0.23585858585858588,True,,,,,
A4_remove_hierarchical_pooling,1,42,11771,0.14565656565656568,0.83,True,,,,,
A2_remove_industry_prior,1,43,11772,0.12323232323232325,0.17454545454545461,True,,,,,
A4_remove_hierarchical_pooling,1,43,11772,0.12323232323232325,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,44,11773,0.2595959595959596,0.2654545454545455,True,,,,,
A4_remove_hierarchical_pooling,1,44,11773,0.2595959595959596,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,45,11774,0.22070707070707074,0.3361616161616162,True,,,,,
A4_remove_hierarchical_pooling,1,45,11774,0.22070707070707074,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,46,11775,0.0792929292929293,0.15101010101010098,True,,,,,
A4_remove_hierarchical_pooling,1,46,11775,0.0792929292929293,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,47,11776,0.07946127946127945,0.18131313131313134,True,,,,,
A4_remove_hierarchical_pooling,1,47,11776,0.07946127946127945,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,48,11777,0.16195286195286193,0.3260606060606061,True,,,,,
A4_remove_hierarchical_pooling,1,48,11777,0.16195286195286193,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,49,11778,0.20892255892255895,0.2823232323232323,True,,,,,
A4_remove_hierarchical_pooling,1,49,11778,0.20892255892255895,0.83,True,,,,,
A2_remove_industry_prior,1,50,11779,0.12154882154882153,0.2553535353535354,True,,,,,
A4_remove_hierarchical_pooling,1,50,11779,0.12154882154882153,0.9,True,,,,,
A2_remove_industry_prior,1,51,11780,0.1720538720538721,0.2823232323232323,True,,,,,
A4_remove_hierarchical_pooling,1,51,11780,0.1720538720538721,0.83,True,,,,,
A2_remove_industry_prior,1,52,11781,0.024377104377104324,0.14424242424242426,True,,,,,
A4_remove_hierarchical_pooling,1,52,11781,0.024377104377104324,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,53,11782,0.09026936026936022,0.20484848484848492,True,,,,,
A4_remove_hierarchical_pooling,1,53,11782,0.09026936026936022,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,54,11783,0.03383838383838385,0.21161616161616165,True,,,,,
A4_remove_hierarchical_pooling,1,54,11783,0.03383838383838385,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,55,11784,0.07222222222222222,0.12474747474747475,True,,,,,
A4_remove_hierarchical_pooling,1,55,11784,0.07222222222222222,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,56,11785,0.09949494949494955,0.3227272727272727,True,,,,,
A4_remove_hierarchical_pooling,1,56,11785,0.09949494949494955,0.83,True,,,,,
A2_remove_industry_prior,1,57,11786,0.1803030303030303,0.31262626262626264,True,,,,,
A4_remove_hierarchical_pooling,1,57,11786,0.1803030303030303,0.8200000000000001,True,,,,,
